	5
all	6
enjoyable	3
thoughtful	2
reasoning	3
father	3
young	3
languages	6
to	41
atlas	3
teaching	3
presentation	2
every	3
multiple	1
level	3
skills	12
prototypes	3
large	2
dealt	2
guy	3
enjoy	3
be	1
discover	2
elegant	3
thinker	3
implemented	2
honors	2
what	2
cooking	3
access	4
ssis	3
relational	2
temperatures	1
pioneering	3
wrangling	2
leveraging	2
answers	2
understanding	3
hours	6
explore	3
focused	2
along	2
strong	2
publisher	2
vba	2
warehousing	3
technical	2
economics	2
experience	11
products	2
specialize	3
via	2
brought	3
api	2
tools	5
use	2
from	4
working	5
positive	3
858	2
optimize	3
music	1
films	1
angels	1
more	3
flat	1
successful	2
gladly	1
me	4
organizations	1
salesforce	1
this	2
science	4
work	1
can	3
ms	1
learn	1
strategies	1
my	7
history	2
challenging	1
process	1
want	1
information	2
needs	2
technology	1
tableau	2
machine	6
significance	1
selfmotivator	1
specifications	1
after	2
applications	2
bioinformatics	1
data	23
geographies	1
a	16
short	1
natural	2
remember	1
effective	1
powerpoint	1
so	2
healthcare	1
order	1
operations	2
help	1
using	3
spreadsheets	1
years	3
scientist	1
statistical	5
cuts	1
its	6
industries	1
derive	2
thank	1
apex	1
solving	2
platform	1
coaching	2
2011	1
finer	1
then	1
skilled	2
python	4
execute	1
meat	1
always	2
university	2
each	1
doing	1
series	1
challenges	1
year	1
extract	1
insurance	1
since	3
hooked	1
engineer	2
math	1
rebuilding	1
linear	1
circumstance	1
tractors	1
reason	2
rows	1
ask	1
certified	1
language	2
where	1
keen	1
machining	1
1970s	1
retail	1
childhood	2
recite	2
major	1
industrial	2
reached	1
synthesizing	2
millions	1
management	1
leverage	2
meaningful	1
engagement	1
adopted	1
their	3
master	1
observations	2
john	1
mining	6
that	6
190	2
appreciation	1
than	2
10	2
professionalism	1
2318856	1
project	1
r	5
loves	1
and	37
comfortable	1
raw	1
tables	2
have	7
studying	1
oriented	1
build	1
experienced	2
rereading	1
who	2
aws	1
montana	1
services	2
peers	1
medical	1
later	1
actionable	1
databases	3
professional	2
microsoft	2
precise	2
perseverance	2
particularly	1
balding	1
text	1
cheap	1
solutions	4
boardlevel	1
find	1
enthusiast	2
layout	1
wayne	1
local	1
abeburnettgmailcom	1
do	1
prowess	1
amazon	3
report	1
generalist	1
areas	2
countries	4
discussing	1
predictive	3
set	2
intelligence	9
startup	1
roadmap	1
culture	1
are	1
best	2
managing	1
fascinated	2
state	2
approach	1
across	1
notice	1
ability	2
web	1
agencies	1
job	1
succeed	2
modeling	2
cities	2
c	6
many	1
according	1
context	1
studio	1
environments	1
likes	2
learning	9
provinces	2
fintech	1
creativity	1
charts	1
been	3
quickly	1
extraction	1
much	2
slowly	1
12c11g	1
gas	1
understand	3
graphics	1
ruby	1
databacked	1
engineering	1
will	1
frameworks	1
entrepreneurial	1
diverse	1
stopping	1
welding	1
is	1
cant	1
reports	1
in	18
dataand	1
regression	1
containing	1
big	1
development	4
oil	1
novels	1
hand	2
driven	1
user	1
robust	2
validate	1
tsql	1
fabrication	1
recent	1
task	1
i	27
builder	1
well	1
spent	2
analysis	4
patterns	1
solve	2
sets	1
organization	2
the	17
when	2
sporting	1
rest	1
questions	1
mysql	2
skill	1
visualization	6
analytics	3
board	1
extensive	1
has	1
smart	1
plsql	2
evaluate	1
utah	1
background	1
world	4
like	3
capitals	2
server	1
antique	1
beneficial	1
because	1
old	2
people	1
successfully	1
thirdparty	1
universes	1
intuition	2
whodidwhattowhom	1
for	4
scala	2
creative	3
critical	2
cnc	1
911	1
demonstrated	2
core	3
rubyonrails	1
business	10
processing	2
maven	2
graduated	1
java	1
by	10
on	1
crafting	1
postgresql	3
of	17
industry	1
favorite	1
shiny	2
or	1
software	1
equally	1
fundraising	1
redshift	2
image	1
within	1
appropriate	1
pivot	1
your	2
statistics	3
tutor	1
transform	2
low	1
call	2
analyze	1
was	2
files	2
i've	1
technologies	1
with	12
embedded	1
up	1
us	1
problem	1
minutes	1
datadriven	1
am	5
an	1
as	2
ssrs	1
expertise	1
at	4
education	2
constructed	1
no	1
excel	2
detail	1
application	1
other	1
details	1
warehouse	1
you	4
elements	1
kinds	1
models	4
problems	1
additionally	1
sql	4
building	4
algorithm	1
required	1
directors	1
presenting	1
time	1
oracle	2
determination	1
